PC_CODE,COMMODITY,STATE,Country,UNIT,Quantity,Trade_Value_USD,,,
A1,TEA,KARNATAKA,MALDIVES,KGS,215,1732,,,
A1,TEA,KARNATAKA,NEPAL,KGS,20,378,,,
A1,TEA,KARNATAKA,NETHERLAND,KGS,11,985,,,
A1,TEA,KARNATAKA,NIGERIA,KGS,72,283,,,
A1,TEA,KARNATAKA,PAPUA N GNA,KGS,5208,8736,,,
A1,TEA,KARNATAKA,RUSSIA,KGS,4000,7997,,,
A1,TEA,KARNATAKA,SINGAPORE,KGS,695,8310,,,
A1,TEA,KARNATAKA,SOLOMON IS,KGS,5,50,,,
A1,TEA,KARNATAKA,SOUTH AFRICA,KGS,180,6181,,,
A1,TEA,KARNATAKA,TAIWAN,KGS,4101,175832,,,
A1,TEA,KARNATAKA,U ARAB EMTS,KGS,36926,163537,,,
A1,TEA,KARNATAKA,U K,KGS,876,24398,,,
A1,TEA,KARNATAKA,U S A,KGS,16777,543071,,,
A1,TEA,KARNATAKA,VIETNAM SOC REP,KGS,325,11044,,,
A1,TEA,KERALA,AUSTRALIA,KGS,1118279,5312813,,,
A1,TEA,KERALA,AUSTRIA,KGS,9665,58986,,,
A1,TEA,KERALA,AZERBAIJAN,KGS,75100,248387,,,
A1,TEA,KERALA,BAHARAIN IS,KGS,453428,1938002,,,
A1,TEA,KERALA,BELGIUM,KGS,2000,103497,,,
A1,TEA,KERALA,BOLIVIA,KGS,13601,86288,,,
A1,TEA,KERALA,BOTSWANA,KGS,300,3552,,,
A1,TEA,KERALA,BRAZIL,KGS,2300,116156,,,
A1,TEA,KERALA,CANADA,KGS,753903,3842089,,,
A1,TEA,KERALA,CHINA P RP,KGS,7786,49579,,,
A1,TEA,KERALA,CZECH REPUBLIC,KGS,14755,176020,,,
A1,TEA,KERALA,EGYPT A RP,KGS,260000,438796,,,
A1,TEA,KERALA,FINLAND,KGS,36160,93366,,,
A1,TEA,KERALA,FRANCE,KGS,47515,243985,,,
A1,TEA,KERALA,GEORGIA,KGS,590635,1620476,,,
A1,TEA,KERALA,GERMANY,KGS,770621,2158270,,,
A1,TEA,KERALA,HUNGARY,KGS,103,2441,,,
A1,TEA,KERALA,INDONESIA,KGS,4230,39595,,,
A1,TEA,KERALA,IRAQ,KGS,341457,797092,,,
A1,TEA,KERALA,IRELAND,KGS,96332,1188140,,,
A1,TEA,KERALA,ISRAEL,KGS,11975,23959,,,
A1,TEA,KERALA,ITALY,KGS,585274,3645253,,,
A1,TEA,KERALA,JAPAN,KGS,120520,1309489,,,
A1,TEA,KERALA,JORDAN,KGS,3015,6512,,,
A1,TEA,KERALA,KAZAKHSTAN,KGS,76500,115587,,,
A1,TEA,KERALA,KENYA,KGS,1132820,2493359,,,
A1,TEA,KERALA,KOREA RP,KGS,78160,681532,,,
A1,TEA,KERALA,KUWAIT,KGS,509642,2015027,,,
A1,TEA,KERALA,MALAYSIA,KGS,521646,1373158,,,
A1,TEA,KERALA,MALDIVES,KGS,27673,153613,,,
A1,TEA,KERALA,MALTA,KGS,160,905,,,
